69402,"(0, 1)",We 'll have to get a  a better box .,"[We/PRP, 'll/MD, have/VB, to/TO, get/VB, a/DT, a/DT, better/JJR, box/NN, ./.]",(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB get) (NP (DT a) (ADJP (DT a) (JJR better)) (NN box))))))) (. .)))
69402,"(228, 229, 230)","And I said there 's a , there 's a new children 's ward  will open at the Wandsbergh Hospital  perhaps they would like something .","[And/CC, I/PRP, said/VBD, there/EX, 's/VBZ, a/DT, ,/,, there/EX, 's/VBZ, a/DT, new/JJ, children/NNS, 's/POS, ward/NN, will/MD, open/VB, at/IN, the/DT, Wandsbergh/NNP, Hospital/NNP, perhaps/RB, they/PRP, would/MD, like/VB, something/NN, ./.]","(ROOT (S (CC And) (NP (PRP I)) (VP (VBD said) (S (S (NP (EX there)) (VP (VBZ 's) (NP (DT a)))) (, ,) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NP (DT a) (JJ new) (NNS children) (POS 's)) (NN ward)) (SBAR (S (VP (MD will) (VP (VB open) (PP (IN at) (NP (DT the) (NNP Wandsbergh) (NNP Hospital)))))))))) (S (ADVP (RB perhaps)) (NP (PRP they)) (VP (MD would) (VP (VB like) (NP (NN something))))))) (. .)))"
69402,"(231, 232)","I saw Mrs >  , and Mrs  > said  they were aiming to raise money for the scanner appeal .","[I/PRP, saw/VBD, Mrs/NNP, >/JJR, ,/,, and/CC, Mrs/NNP, >/JJR, said/VBD, they/PRP, were/VBD, aiming/VBG, to/TO, raise/VB, money/NN, for/IN, the/DT, scanner/NN, appeal/NN, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBD saw) (S (NP (NNP Mrs)) (ADJP (JJR >))))) (, ,) (CC and) (S (NP (NP (NNP Mrs)) (ADJP (JJR >))) (VP (VBD said) (SBAR (S (NP (PRP they)) (VP (VBD were) (VP (VBG aiming) (S (VP (TO to) (VP (VB raise) (NP (NN money)) (PP (IN for) (NP (DT the) (NN scanner) (NN appeal)))))))))))) (. .)))"
69402,"(233,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
69402,"(234, 235, 236, 237)","But , also they 're going to  have a  an obstetric adult patient 's department  at the College Hospital for the very first time .","[But/CC, ,/,, also/RB, they/PRP, 're/VBP, going/VBG, to/TO, have/VB, a/DT, an/DT, obstetric/JJ, adult/JJ, patient/NN, 's/POS, department/NN, at/IN, the/DT, College/NNP, Hospital/NNP, for/IN, the/DT, very/RB, first/JJ, time/NN, ./.]","(ROOT (S (CC But) (, ,) (ADVP (RB also)) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (NP (NP (DT a) (NP (DT an) (JJ obstetric) (JJ adult) (NN patient) (POS 's)) (NN department)) (PP (IN at) (NP (NP (DT the) (NNP College) (NNP Hospital)) (PP (IN for) (NP (DT the) (ADJP (RB very) (JJ first)) (NN time))))))))))) (. .)))"
69402,"(238,)",A what ?,"[A/DT, what/WP, ?/.]",(ROOT (S (VP (NP (DT A) (NP (WP what)))) (. ?)))
69402,"(239,)",A,[A/DT],(ROOT (FRAG (NP (DT A))))
69402,"(240,)",An obstetric outpatients,"[An/DT, obstetric/JJ, outpatients/NNS]",(ROOT (FRAG (NP (DT An) (JJ obstetric) (NNS outpatients))))
69402,"(241,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
69402,"(242,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
69402,"(243, 244, 245)","and they 're , obviously they would be , tend to be other children  with mothers then  so they would like perhaps a play facility there .","[and/CC, they/PRP, 're/VBP, ,/,, obviously/RB, they/PRP, would/MD, be/VB, ,/,, tend/VB, to/TO, be/VB, other/JJ, children/NNS, with/IN, mothers/NNS, then/RB, so/IN, they/PRP, would/MD, like/VB, perhaps/RB, a/DT, play/NN, facility/NN, there/RB, ./.]","(ROOT (S (CC and) (NP (PRP they)) (VP (VP (VBP 're)) (PRN (, ,) (S (ADVP (RB obviously)) (NP (PRP they)) (VP (MD would) (VP (VB be)))) (, ,)) (VP (VB tend) (S (VP (TO to) (VP (VB be) (NP (JJ other) (NNS children)) (PP (IN with) (NP (NNS mothers))) (NP (RB then)) (SBAR (IN so) (S (NP (PRP they)) (VP (MD would) (VP (VB like) (NP (RB perhaps) (DT a) (NN play) (NN facility)) (ADVP (RB there))))))))))) (. .)))"
69402,"(246,)","And other children who go to the E N T clinic , and go to the","[And/CC, other/JJ, children/NNS, who/WP, go/VBP, to/TO, the/DT, E/NN, N/NN, T/NN, clinic/NN, ,/,, and/CC, go/VB, to/TO, the/DT]","(ROOT (FRAG (CC And) (ADVP (JJ other) (NP (NNS children))) (SBAR (WHNP (WP who)) (S (VP (VP (VBP go) (PP (TO to) (NP (DT the) (NN E) (NN N) (NN T) (NN clinic)))) (, ,) (CC and) (VP (VB go) (PP (TO to) (NP (DT the)))))))))"
69402,"(247,)",,[],X
69402,"(248,)","or just go to the outpatients in general , and the casualty","[or/CC, just/RB, go/VB, to/TO, the/DT, outpatients/NNS, in/IN, general/JJ, ,/,, and/CC, the/DT, casualty/NN]","(ROOT (FRAG (CC or) (ADVP (RB just) (S (VP (VB go) (PP (TO to) (NP (NP (DT the) (NNS outpatients)) (PP (IN in) (NP (NP (JJ general)) (, ,) (CC and) (NP (DT the) (NN casualty)))))))))))"
69402,"(249,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
69402,"(250,)",there 's very limited facilities for children to play .,"[there/EX, 's/VBZ, very/RB, limited/JJ, facilities/NNS, for/IN, children/NNS, to/TO, play/VB, ./.]",(ROOT (S (NP (EX there)) (VP (VBZ 's) (NP (NP (ADJP (RB very) (JJ limited)) (NNS facilities)) (PP (IN for) (NP (NNS children) (S (VP (TO to) (VP (VB play)))))))) (. .)))
69402,"(251, 252, 253)",So  but I also coaxed Mrs  > about  the Wandsbergh   .,"[So/RB, but/CC, I/PRP, also/RB, coaxed/VBD, Mrs/NNP, >/JJR, about/IN, the/DT, Wandsbergh/NNP, ./.]",(ROOT (S (ADVP (RB So) (CC but)) (NP (PRP I)) (ADVP (RB also)) (VP (VBD coaxed) (S (NP (NNP Mrs)) (ADJP (JJR >))) (PP (IN about) (NP (DT the) (NNP Wandsbergh)))) (. .)))
69402,"(254, 255, 256, 257, 258)","Anyway , she  wanted to , me to go and see her , she said there we- there was a scanner appeal , and she was also trying to talk about all sorts of other things that were possible  and  because there was an arts appeal and  for arts facilities at the hospital , and all sorts of things .","[Anyway/RB, ,/,, she/PRP, wanted/VBD, to/TO, ,/,, me/PRP, to/TO, go/VB, and/CC, see/VB, her/PRP, ,/,, she/PRP, said/VBD, there/EX, we-/NN, there/EX, was/VBD, a/DT, scanner/NN, appeal/NN, ,/,, and/CC, she/PRP, was/VBD, also/RB, trying/VBG, to/TO, talk/VB, about/IN, all/DT, sorts/NNS, of/IN, other/JJ, things/NNS, that/WDT, were/VBD, possible/JJ, and/CC, because/IN, there/EX, was/VBD, an/DT, arts/NNS, appeal/NN, and/CC, for/IN, arts/NNS, facilities/NNS, at/IN, the/DT, hospital/NN, ,/,, and/CC, all/DT, sorts/NNS, of/IN, things/NNS, ./.]","(ROOT (S (ADVP (RB Anyway)) (, ,) (S (NP (PRP she)) (VP (VBD wanted) (PP (TO to)) (, ,) (S (NP (PRP me)) (VP (TO to) (VP (VB go) (CC and) (VB see) (NP (PRP her))))))) (PRN (, ,) (S (NP (PRP she)) (VP (VBD said) (S (NP (EX there)) (NP (NP (NN we-)) (SBAR (S (NP (EX there)) (VP (VBD was) (NP (DT a) (NN scanner) (NN appeal))))))))) (, ,)) (CC and) (S (NP (PRP she)) (VP (VBD was) (ADVP (RB also)) (VP (VBG trying) (S (VP (TO to) (VP (VP (VB talk) (PP (IN about) (NP (NP (DT all) (NNS sorts)) (PP (IN of) (NP (JJ other) (NNS things))))) (SBAR (SBAR (WHNP (WDT that)) (S (VP (VBD were) (ADJP (JJ possible))))) (CC and) (SBAR (IN because) (S (NP (EX there)) (VP (VBD was) (NP (DT an) (NNS arts) (NN appeal))))))) (CC and) (VP (PP (IN for) (NP (NNS arts) (NNS facilities))) (PP (IN at) (NP (NP (DT the) (NN hospital)) (, ,) (CC and) (NP (NP (DT all) (NNS sorts)) (PP (IN of) (NP (NNS things))))))))))))) (. .)))"
69402,"(259, 260, 261)",So  I went back to Miss  > and said about the scanner appeal and she said that would be  she thought that that would be the best idea .,"[So/IN, I/PRP, went/VBD, back/RB, to/TO, Miss/VB, >/JJR, and/CC, said/VBD, about/IN, the/DT, scanner/NN, appeal/NN, and/CC, she/PRP, said/VBD, that/DT, would/MD, be/VB, she/PRP, thought/VBD, that/IN, that/DT, would/MD, be/VB, the/DT, best/JJS, idea/NN, ./.]",(ROOT (S (S (IN So) (NP (PRP I)) (VP (VP (VBD went) (ADVP (RB back)) (S (VP (TO to) (VP (VB Miss) (NP (JJR >)))))) (CC and) (VP (VBD said) (PP (IN about) (NP (DT the) (NN scanner) (NN appeal)))))) (CC and) (S (NP (PRP she)) (VP (VBD said) (SBAR (S (NP (DT that)) (VP (MD would) (VP (VB be) (S (NP (PRP she)) (VP (VBD thought) (SBAR (IN that) (S (NP (DT that)) (VP (MD would) (VP (VB be) (NP (DT the) (JJS best) (NN idea)))))))))))))) (. .)))
69402,"(262, 263)",Not the children 's things at the  Cottage Hospital .,"[Not/RB, the/DT, children/NNS, 's/POS, things/NNS, at/IN, the/DT, Cottage/NN, Hospital/NN, ./.]",(ROOT (FRAG (RB Not) (PP (NP (NP (DT the) (NNS children) (POS 's)) (NNS things)) (IN at) (NP (DT the) (NN Cottage) (NN Hospital))) (. .)))
69402,"(264, 265, 266, 267, 268)","I also told her it 's the diamond jubilee of the hospital  and  the children from  will be invited to the hospital for that day  that week , sorry .","[I/PRP, also/RB, told/VBD, her/PRP, it/PRP, 's/VBZ, the/DT, diamond/NN, jubilee/NN, of/IN, the/DT, hospital/NN, and/CC, the/DT, children/NNS, from/IN, will/MD, be/VB, invited/VBN, to/TO, the/DT, hospital/NN, for/IN, that/DT, day/NN, that/IN, week/NN, ,/,, sorry/JJ, ./.]","(ROOT (S (NP (PRP I)) (ADVP (RB also)) (VP (VBD told) (NP (PRP her)) (SBAR (S (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT the) (NN diamond) (NN jubilee)) (PP (IN of) (NP (DT the) (NN hospital)))))) (CC and) (S (NP (NP (DT the) (NNS children)) (PP (IN from))) (VP (MD will) (VP (VB be) (VP (VBN invited) (PP (TO to) (NP (NP (DT the) (NN hospital)) (PP (IN for) (NP (NP (DT that) (NN day)) (PP (IN that) (NP (NN week))))))) (, ,) (ADJP (JJ sorry))))))))) (. .)))"
69402,"(269, 270)",It 's gonna be a week    .,"[It/PRP, 's/VBZ, gonna/NNP, be/VB, a/DT, week/NN, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (S (NP (NNP gonna)) (VP (VB be) (NP (DT a) (NN week))))) (. .)))
69402,"(271,)",So she wanted to know what date it is .,"[So/IN, she/PRP, wanted/VBD, to/TO, know/VB, what/WP, date/NN, it/PRP, is/VBZ, ./.]",(ROOT (S (IN So) (NP (PRP she)) (VP (VBD wanted) (S (VP (TO to) (VP (VB know) (SBAR (WHNP (WP what) (NN date)) (S (NP (PRP it)) (VP (VBZ is)))))))) (. .)))
69402,"(272, 273)","So I , I asked Mrs  > to  but would she write to Miss  > and give her all the details .","[So/IN, I/PRP, ,/,, I/PRP, asked/VBD, Mrs/NNP, >/JJR, to/TO, but/CC, would/MD, she/PRP, write/VB, to/TO, Miss/VB, >/JJR, and/CC, give/VB, her/PRP$, all/PDT, the/DT, details/NNS, ./.]","(ROOT (S (IN So) (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBD asked) (S (NP (NNP Mrs)) (ADJP (ADJP (JJR >)) (PP (TO to))) (SBAR (SINV (CC but) (MD would) (NP (PRP she)) (VP (VB write) (S (VP (TO to) (VP (VP (VB Miss) (NP (JJR >))) (CC and) (VP (VB give) (NP (PRP$ her)) (NP (PDT all) (DT the) (NNS details))))))))))) (. .)))"
69402,"(274,)","And she said , oh she 'd be , she 'd be far better if she went to see and explained it all .","[And/CC, she/PRP, said/VBD, ,/,, oh/UH, she/PRP, 'd/MD, be/VB, ,/,, she/PRP, 'd/MD, be/VB, far/RB, better/JJR, if/IN, she/PRP, went/VBD, to/TO, see/VB, and/CC, explained/VBD, it/PRP, all/DT, ./.]","(ROOT (S (CC And) (NP (PRP she)) (VP (VBD said) (SBAR (S (, ,) (S (INTJ (UH oh)) (NP (PRP she)) (VP (MD 'd) (VP (VB be)))) (, ,) (NP (PRP she)) (VP (MD 'd) (VP (VB be) (ADJP (ADJP (RB far) (JJR better)) (SBAR (IN if) (S (NP (PRP she)) (VP (VP (VBD went) (S (VP (TO to) (VP (VB see))))) (CC and) (VP (VBD explained) (S (NP (PRP it)) (NP (DT all))))))))))))) (. .)))"
69402,"(275,)","And that she was going on Wednesday , I think .","[And/CC, that/IN, she/PRP, was/VBD, going/VBG, on/IN, Wednesday/NNP, ,/,, I/PRP, think/VBP, ./.]","(ROOT (S (CC And) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD was) (VP (VBG going) (PP (IN on) (NP (NNP Wednesday))))))) (, ,) (NP (PRP I)) (VP (VBP think)) (. .)))"
69402,"(276, 277)",Up she went  you know,"[Up/IN, she/PRP, went/VBD, you/PRP, know/VBP]",(ROOT (FRAG (S (PP (IN Up) (NP (PRP she))) (VP (VBD went) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))
69402,"(278,)",Hold on .,"[Hold/VB, on/RP, ./.]",(ROOT (S (VP (VB Hold) (PRT (RP on))) (. .)))
69402,"(279,)",Which one was going to see which,"[Which/WDT, one/NN, was/VBD, going/VBG, to/TO, see/VB, which/WDT]",(ROOT (SBARQ (WHNP (WDT Which) (NN one)) (SQ (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB see) (WHNP (WDT which)))))))))
69402,"(280,)",It 's,"[It/PRP, 's/VBZ]",(ROOT (S (NP (PRP It)) (VP (VBZ 's))))
69402,"(281,)",one ?,"[one/CD, ?/.]",(ROOT (FRAG (NP (CD one)) (. ?)))
69402,"(282,)",Mrs  > was going to see Miss,"[Mrs/NNP, >/JJR, was/VBD, going/VBG, to/TO, see/VB, Miss/NNP]",(ROOT (S (NP (NP (NNP Mrs)) (ADJP (JJR >))) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB see) (NP (NNP Miss)))))))))
69402,"(283,)",Was going to see Miss,"[Was/VBD, going/VBG, to/TO, see/VB, Miss/NNP]",(ROOT (SINV (VP (VBD Was) (VP (VBG going) (S (VP (TO to) (VP (VB see)))))) (NP (NNP Miss))))
69402,"(284,)",>  .,"[>/JJR, ./.]",(ROOT (FRAG (ADJP (JJR >)) (. .)))
69402,"(285,)",Oh .,"[Oh/UH, ./.]",(ROOT (INTJ (UH Oh) (. .)))
69402,"(286,)",I see .,"[I/PRP, see/VBP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP see)) (. .)))
69402,"(287,)",I didn 't know which one .,"[I/PRP, didn/VBP, 't/PRP, know/VB, which/WDT, one/CD, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB know) (FRAG (WHNP (WDT which) (NP (CD one))))))) (. .)))
69402,"(288, 289, 290, 291)",But I give them a  so then I saw Mrs  > on Tuesday     when I was at Ashington .,"[But/CC, I/PRP, give/VBP, them/PRP, a/DT, so/RB, then/RB, I/PRP, saw/VBD, Mrs/NNP, >/JJR, on/IN, Tuesday/NNP, when/WRB, I/PRP, was/VBD, at/IN, Ashington/NNP, ./.]",(ROOT (S (CC But) (NP (PRP I)) (VP (VBP give) (NP (PRP them) (DT a)) (NP (RB so) (RB then) (SBAR (S (NP (PRP I)) (VP (VBD saw) (S (NP (NNP Mrs)) (ADJP (ADJP (JJR >)) (PP (IN on) (NP (NNP Tuesday)))) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (PP (IN at) (NP (NNP Ashington)))))))))))) (. .)))
69402,"(292, 293, 294)",And she came up with all sorts of things that  she would like for the  the new Wandsbergh development .,"[And/CC, she/PRP, came/VBD, up/RP, with/IN, all/DT, sorts/NNS, of/IN, things/NNS, that/IN, she/PRP, would/MD, like/VB, for/IN, the/DT, the/DT, new/JJ, Wandsbergh/NNP, development/NN, ./.]",(ROOT (S (CC And) (NP (PRP she)) (VP (VBD came) (PRT (RP up)) (PP (IN with) (NP (NP (DT all) (NNS sorts)) (PP (IN of) (NP (NNS things))))) (SBAR (IN that) (S (NP (PRP she)) (VP (MD would) (VP (VB like) (PP (IN for) (NP (DT the) (NP (DT the) (JJ new) (NNP Wandsbergh)) (NN development)))))))) (. .)))
69402,"(295, 296, 297, 298, 299, 300, 301, 302, 303)","But on a  but there 's nothing ready of course , so th- there 's , there 's a  giant sundial they 're going to have in one of the courtyards  and it 's a giant one  it 's , it 's the , the building and the blocks of  things in , in the  in the courtyard that make up the  the time .","[But/CC, on/IN, a/DT, but/CC, there/EX, 's/VBZ, nothing/NN, ready/JJ, of/IN, course/NN, ,/,, so/RB, th-/JJ, there/EX, 's/VBZ, ,/,, there/EX, 's/VBZ, a/DT, giant/JJ, sundial/NN, they/PRP, 're/VBP, going/VBG, to/TO, have/VB, in/IN, one/CD, of/IN, the/DT, courtyards/NNS, and/CC, it/PRP, 's/VBZ, a/DT, giant/JJ, one/CD, it/PRP, 's/VBZ, ,/,, it/PRP, 's/VBZ, the/DT, ,/,, the/DT, building/NN, and/CC, the/DT, blocks/NNS, of/IN, things/NNS, in/IN, ,/,, in/IN, the/DT, in/IN, the/DT, courtyard/NN, that/WDT, make/VBP, up/RP, the/DT, the/DT, time/NN, ./.]","(ROOT (S (CC But) (PP (IN on) (S (S (ADVP (DT a) (CC but)) (NP (EX there)) (VP (VBZ 's) (ADJP (NN nothing) (JJ ready)) (PP (IN of) (NP (NN course))) (, ,) (ADJP (RB so) (JJ th-) (SBAR (S (NP (EX there)) (VP (VBZ 's) (, ,) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (JJ giant) (NN sundial)) (SBAR (S (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (PP (IN in) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS courtyards)))))))))))))))))))))) (CC and) (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ giant) (CD one)))))) (NP (PRP it)) (VP (VBZ 's) (, ,) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT the)) (, ,) (NP (DT the) (NN building)) (CC and) (NP (NP (DT the) (NNS blocks)) (PP (IN of) (NP (NP (NNS things)) (PP (IN in)))))) (, ,) (PP (IN in) (NP (NP (DT the)) (PP (IN in) (NP (NP (DT the) (NN courtyard)) (SBAR (WHNP (WDT that)) (S (VP (VBP make) (PRT (RP up)) (NP (DT the) (DT the) (NN time))))))))))))) (. .)))"
69402,"(304, 305)","So the sun shines on the that particular bit of the  of the courtyard and it 's eight o 'clock , and that one is nine o 'clock and so forth .","[So/IN, the/DT, sun/NNP, shines/VBZ, on/IN, the/DT, that/WDT, particular/JJ, bit/NN, of/IN, the/DT, of/IN, the/DT, courtyard/NN, and/CC, it/PRP, 's/VBZ, eight/CD, o/NN, 'clock/NN, ,/,, and/CC, that/IN, one/CD, is/VBZ, nine/CD, o/NN, 'clock/NN, and/CC, so/RB, forth/RB, ./.]","(ROOT (S (IN So) (S (NP (DT the) (NNP sun)) (VP (VBZ shines) (SBAR (SBAR (WHPP (IN on) (WHNP (DT the) (WDT that))) (S (NP (NP (JJ particular) (NN bit)) (PP (IN of) (NP (NP (DT the)) (PP (IN of) (NP (NP (DT the) (NN courtyard)) (CC and) (NP (PRP it))))))) (VP (VBZ 's) (NP (CD eight) (NN o) (NN 'clock))))) (, ,) (CC and) (SBAR (IN that) (S (NP (CD one)) (VP (VBZ is) (NP (CD nine) (NN o) (NN 'clock)))))))) (CC and) (ADVP (RB so) (RB forth)) (. .)))"
69402,"(306,)",This is just in a courtyard and there 'll be shrubs and things so she 's got,"[This/DT, is/VBZ, just/RB, in/IN, a/DT, courtyard/NN, and/CC, there/EX, 'll/MD, be/VB, shrubs/NNS, and/CC, things/NNS, so/IN, she/PRP, 's/VBZ, got/VBN]",(ROOT (NP (S (S (NP (DT This)) (VP (VBZ is) (ADVP (RB just)) (PP (IN in) (NP (DT a) (NN courtyard))))) (CC and) (S (NP (EX there)) (VP (MD 'll) (VP (VB be) (NP (NNS shrubs) (CC and) (NNS things)) (SBAR (IN so) (S (NP (PRP she)) (VP (VBZ 's) (VP (VBN got)))))))))))
69402,"(307,)",Hold on .,"[Hold/VB, on/RP, ./.]",(ROOT (S (VP (VB Hold) (PRT (RP on))) (. .)))
69402,"(308, 309)",Wha- how  where is it going to be seen from ?,"[Wha-/JJ, how/WRB, where/WRB, is/VBZ, it/PRP, going/VBG, to/TO, be/VB, seen/VBN, from/IN, ?/.]",(ROOT (FRAG (ADJP (JJ Wha-)) (SBAR (WHADVP (WRB how) (WRB where)) (S (VP (VBZ is) (NP (NP (PRP it)) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBN seen) (PP (IN from))))))))))) (. ?)))
69402,"(310, 311)",I presume it 's seen from the wards  that are up behind looking down onto this courtyard .,"[I/PRP, presume/VBP, it/PRP, 's/VBZ, seen/VBN, from/IN, the/DT, wards/NNS, that/WDT, are/VBP, up/RB, behind/RB, looking/VBG, down/IN, onto/IN, this/DT, courtyard/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP presume) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN seen) (PP (IN from) (NP (NP (DT the) (NNS wards)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADVP (RB up) (RB behind)) (VP (VBG looking) (ADVP (IN down)) (PP (IN onto) (NP (DT this) (NN courtyard)))))))))))))) (. .)))
69402,"(312, 313, 314, 315, 316)","There 's also erm  a play area for the  the children 's ward  there 's also some murals on the  the walls , various artistic murals .","[There/EX, 's/VBZ, also/RB, erm/VBP, a/DT, play/NN, area/NN, for/IN, the/DT, the/DT, children/NNS, 's/POS, ward/NN, there/EX, 's/VBZ, also/RB, some/DT, murals/NNS, on/IN, the/DT, the/DT, walls/NNS, ,/,, various/JJ, artistic/JJ, murals/NNS, ./.]","(ROOT (S (NP (EX There)) (VP (VBZ 's) (ADVP (RB also)) (VP (VBP erm) (NP (DT a) (NN play) (NN area)) (PP (IN for) (NP (NP (DT the) (NP (DT the) (NNS children) (POS 's)) (NN ward)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (ADVP (RB also)) (NP (NP (DT some) (NNS murals)) (PP (IN on) (NP (NP (DT the) (DT the) (NNS walls)) (, ,) (NP (JJ various) (JJ artistic) (NNS murals)))))))))))) (. .)))"
69402,"(317, 318, 319, 320, 321)","And , of course , they 've got this grant from  Artcan  for six thousand pound  for a proggie mat exhibition .","[And/CC, ,/,, of/IN, course/NN, ,/,, they/PRP, 've/VBP, got/VBN, this/DT, grant/NN, from/IN, Artcan/NN, for/IN, six/CD, thousand/CD, pound/NN, for/IN, a/DT, proggie/NN, mat/NN, exhibition/NN, ./.]","(ROOT (S (CC And) (, ,) (PP (IN of) (NP (NN course))) (, ,) (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (DT this) (NN grant)) (PP (IN from) (NP (NP (NN Artcan)) (PP (IN for) (NP (QP (CD six) (CD thousand)) (NN pound))))) (PP (IN for) (NP (DT a) (NN proggie) (NN mat) (NN exhibition))))) (. .)))"
69402,"(322,)",A six thousand pound grant for a proggie mat,"[A/DT, six/CD, thousand/CD, pound/NN, grant/NN, for/IN, a/DT, proggie/NN, mat/NN]",(ROOT (NP (NP (DT A) (ADJP (QP (CD six) (CD thousand))) (NN pound) (NN grant)) (PP (IN for) (NP (DT a) (NN proggie) (NN mat)))))
69402,"(323,)",Well,[Well/RB],(ROOT (INTJ (RB Well)))
69402,"(324,)",exhibition ?,"[exhibition/NN, ?/.]",(ROOT (FRAG (NP (NN exhibition)) (. ?)))
69402,"(325, 326)","well over , over a period , it 's  and other things too but they sa- they said that murals and proggie mats are involved in it .","[well/RB, over/IN, ,/,, over/IN, a/DT, period/NN, ,/,, it/PRP, 's/VBZ, and/CC, other/JJ, things/NNS, too/RB, but/CC, they/PRP, sa-/VBP, they/PRP, said/VBD, that/IN, murals/NNS, and/CC, proggie/NN, mats/NNS, are/VBP, involved/VBN, in/IN, it/PRP, ./.]","(ROOT (S (PP (RB well) (PP (IN over))) (, ,) (S (PP (IN over) (NP (DT a) (NN period))) (, ,) (NP (PRP it)) (VP (VP (VBZ 's)) (CC and) (VP (NP (JJ other) (NNS things)) (ADVP (RB too))))) (CC but) (S (NP (PRP they)) (VP (VBP sa-) (SBAR (S (NP (PRP they)) (VP (VBD said) (SBAR (IN that) (S (NP (NNS murals) (CC and) (NN proggie) (NNS mats)) (VP (VBP are) (VP (VBN involved) (PP (IN in) (NP (PRP it)))))))))))) (. .)))"
69402,"(327,)",And various other art things .,"[And/CC, various/JJ, other/JJ, art/NN, things/NNS, ./.]",(ROOT (FRAG (CC And) (NP (NP (JJ various)) (NP (ADJP (JJ other)) (NN art) (NNS things))) (. .)))
69402,"(328, 329)","But also ,th- the thought of a gar- a garden and the children keeping the garden  up .","[But/CC, also/RB, ,th-/VBP, the/DT, thought/NN, of/IN, a/DT, gar-/NN, a/DT, garden/NN, and/CC, the/DT, children/NNS, keeping/VBG, the/DT, garden/NN, up/RP, ./.]","(ROOT (SINV (CC But) (ADVP (RB also)) (VP (VBP ,th-) (NP (NP (DT the) (NN thought)) (PP (IN of) (NP (DT a) (NN gar-))))) (NP (NP (DT a) (NN garden)) (CC and) (NP (NP (DT the) (NNS children)) (VP (VBG keeping) (NP (DT the) (NN garden)) (PRT (RP up))))) (. .)))"
69402,"(330, 331, 332)","But that 's a , apparently that was a long way and they have transport difficulties to go from here  to  the Wandsbergh Hospital .","[But/CC, that/DT, 's/VBZ, a/DT, ,/,, apparently/RB, that/DT, was/VBD, a/DT, long/JJ, way/NN, and/CC, they/PRP, have/VBP, transport/NN, difficulties/NNS, to/TO, go/VB, from/IN, here/RB, to/TO, the/DT, Wandsbergh/NNP, Hospital/NN, ./.]","(ROOT (S (CC But) (S (NP (DT that)) (VP (VBZ 's) (NP (DT a)))) (, ,) (S (ADVP (RB apparently)) (NP (DT that)) (VP (VBD was) (NP (DT a) (JJ long) (NN way)))) (CC and) (S (NP (PRP they)) (VP (VBP have) (S (NP (NN transport) (NNS difficulties)) (VP (TO to) (VP (VB go) (PP (IN from) (NP (RB here))) (PP (TO to) (NP (DT the) (NNP Wandsbergh) (NN Hospital)))))))) (. .)))"
69402,"(333, 334, 335)","But then I thought , perhaps  if  that","[But/CC, then/RB, I/PRP, thought/VBD, ,/,, perhaps/RB, if/IN, that/DT]","(ROOT (FRAG (S (CC But) (ADVP (RB then)) (NP (PRP I)) (VP (VBD thought) (, ,) (PP (RB perhaps) (FRAG (IN if) (NP (DT that))))))))"
